time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-07-29T16:53:09.910Z,38.8071667,-122.8163333,3.46,1.87,md,61,27,0.01018,0.05,nc,nc73917936,2023-07-31T17:14:11.664Z,"6 km WNW of The Geysers, CA",earthquake,0.13,0.19,0.144,56,reviewed,nc,nc
2023-07-29T16:34:03.700Z,44.7605,-110.7683333,5.11,1.57,ml,12,118,0.0648,0.11,uu,uu60546502,2023-07-31T13:31:39.600Z,"24 km SSW of Mammoth, Wyoming",earthquake,0.47,1.57,0.195,2,reviewed,uu,uu
2023-07-29T16:13:10.598Z,31.71941805,-104.518373,5.565991211000001,1.9,ml,34,87,0.008610068508,0.2,tx,tx2023otcg,2023-07-31T15:11:59.559Z,"52 km SSW of Whites City, New Mexico",earthquake,0.9556952665,0.608958805,0,6,reviewed,tx,tx
2023-07-29T15:21:53.959Z,31.62618021,-103.9971233,6.799975586,2.1,ml,12,75,0.01872647109,0.1,tx,tx2023otao,2023-08-01T15:45:56.904Z,"38 km WSW of Mentone, Texas",earthquake,1.490717739,1.481960032,0.1,6,reviewed,tx,tx
2023-07-29T14:52:23.489Z,31.656,-104.275,7.8943,1.6,ml,24,58,0,0.1,tx,tx2023oszq,2024-08-07T19:21:27.736Z,"58 km S of Whites City, New Mexico",earthquake,0.6105700608542077,0.6600145758130557,0.2,23,reviewed,tx,tx
2023-07-29T14:02:36.810Z,35.5631667,-120.8148333,4.64,2.39,md,52,53,0.07587,0.08,nc,nc73917906,2023-07-29T20:39:15.056Z,"10 km W of Templeton, CA",earthquake,0.13,0.39,0.117,47,reviewed,nc,nc
2023-07-29T13:35:56.210Z,40.3065,-124.661,18.05,2.41,md,32,236,0.2442,0.19,nc,nc73917896,2023-07-30T01:53:20.150Z,"32 km W of Petrolia, CA",earthquake,0.72,0.49,0.23,27,reviewed,nc,nc
2023-07-29T11:34:56.700Z,31.6886667,-115.9441667,9.86,2.19,ml,19,104,0.3152,0.2,ci,ci39625058,2023-07-30T15:11:42.934Z,"59 km E of Maneadero, B.C., MX",earthquake,0.32,0.97,0.262,9,reviewed,ci,ci
2023-07-29T10:57:08.650Z,40.1655,-121.2666667,4.65,2.12,md,25,64,0.124,0.26,nc,nc73917886,2023-07-29T14:21:13.855Z,"10 km SW of Almanor, CA",earthquake,0.45,1.98,0.188,29,reviewed,nc,nc
2023-07-29T10:40:15.870Z,32.23,-115.2845,2.7,2.56,ml,22,76,0.09472,0.24,ci,ci39625050,2023-09-30T21:36:33.040Z,"11 km W of Alberto Oviedo Mota, B.C., MX",earthquake,0.43,0.77,0.206,35,reviewed,ci,ci
2023-07-29T09:43:21.068Z,32.28607178,-101.7827029,9.561808268,2.4,ml,41,48,0.02240904597,0.2,tx,tx2023ospm,2023-07-31T11:03:37.094Z,"17 km N of Stanton, Texas",earthquake,0.8859550355,0.6542656889,0.1,23,reviewed,tx,tx
2023-07-29T08:25:20.460Z,36.1956667,-120.7666667,7.16,1.92,md,46,79,0.03451,0.1,nc,nc73917861,2023-07-30T04:45:14.865Z,"23 km NNE of San Ardo, CA",earthquake,0.21,0.28,0.161,39,reviewed,nc,nc
2023-07-29T08:03:44.109Z,31.62537642,-104.191351,2.223950195,2,ml,29,60,0.07322273091,0.2,tx,tx2023osmc,2023-07-31T20:21:38.745Z,"51 km NW of Toyah, Texas",earthquake,0.6177650095,0.8426184192000001,0.1,14,reviewed,tx,tx
2023-07-29T07:39:29.150Z,36.4845,-89.5491666666667,9.36,1.86,md,30,45,0.0547,0.04,nm,nm60540026,2023-07-31T12:46:03.150Z,"6 km SE of Marston, Missouri",earthquake,0.35,0.51,0.116157037121513,27,reviewed,nm,nm
2023-07-29T07:17:44.296Z,32.88116455,-100.9702506,3.692667643,3.1,ml,32,70,0.04958972339,0.2,tx,tx2023oskn,2024-01-18T20:35:28.582Z,"18 km NNW of Snyder, Texas",earthquake,1.11952079,1.643881314,0.1,23,reviewed,tx,tx
2023-07-29T06:56:11.811Z,31.64987341,-104.4751406,7.365551758,2,ml,25,104,0.0287989306,0.3,tx,tx2023osjx,2023-07-29T18:11:11.946Z,"59 km S of Whites City, New Mexico",earthquake,1.4316131750000003,0.7677029019,0.2,16,reviewed,tx,tx
